Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, CHAPINERO GALERIAS, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-luis-2-habitaciones-2-banos-1-garajes/3774-M3917393;$350.000.000;88 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-cataluna-2-habitaciones-2-banos/3147-M3049242;$350.000.000;64 m²;2;2
Apartamento en Venta, Chapinero Norte, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/330-M3839700;$350.000.000;54 m²;2;2
Apartamento en Venta, GALERIAS CHAPINERO OCCIDENTAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-banco-central-2-habitaciones-2-banos-1-garajes/3491-M4679553;$350.000.000;53 m²;2;2
Apartamento en Venta, chapinero pardo rubio, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/11203-M3889531;$350.000.000;60 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos/9947-M4467964;$350.000.000;47 m²;2;1
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-2-banos-1-garajes/4796-M3344753;$351.000.000;68 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-salle-2-habitaciones-2-banos-1-garajes/16556-M4725588;$358.000.000;74 m²;2;2
Apartamento en Venta, Chapinero Occidental, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-2-banos-1-garajes/34-M4732419;$360.000.000;51.5 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/10366-M3019486;$360.000.000;60 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/12375-M4900565;$360.000.000;79 m²;2;2
